name,date,year,Accession,Authors,Geo_Location,country,collection_date,GenBank_Title,n_redundant_seqs
1990A_2010,2010.0,2010,KM055543,"Zhang,Y., Ren,L., Wang,J.",China,China,2010-01-01,"Human coronavirus 229E isolate 1990A_2010 spike glycoprotein (S) gene, complete cds",1
2961A_2011,2011.0,2011,KM055549,"Zhang,Y., Ren,L., Wang,J.",China,China,2011-01-01,"Human coronavirus 229E isolate 2961A_2011 spike glycoprotein (S) gene, complete cds",1
2764A_2011,2011.0,2011,KM055544,"Zhang,Y., Ren,L., Wang,J.",China,China,2011-01-01,"Human coronavirus 229E isolate 2764A_2011 spike glycoprotein (S) gene, complete cds",1
2981A_2011,2011.0,2011,KM055550,"Zhang,Y., Ren,L., Wang,J.",China,China,2011-01-01,"Human coronavirus 229E isolate 2981A_2011 spike glycoprotein (S) gene, complete cds",1
2861A_2011,2011.0,2011,KM055548,"Zhang,Y., Ren,L., Wang,J.",China,China,2011-01-01,"Human coronavirus 229E isolate 2861A_2011 spike glycoprotein (S) gene, complete cds",1
11949_2011,2011.0,2011,KM055531,"Zhang,Y., Ren,L., Wang,J.",China,China,2011-01-01,"Human coronavirus 229E isolate 11949_2011 spike glycoprotein (S) gene, complete cds",1
BN1/GER/2015,2015.0,2015,KU291448,"Corman,V.M., Eckerle,I., Memish,Z.A., Liljander,A.M., Dijkman,R., Jonsdottir,H., Juma Ngeiywa,K.J., Kamau,E., Younan,M., Al Masri,M., Assiri,A., Gluecks,I., Musa,B.E., Meyer,B., Muller,M.A., Hilali,M., Bornstein,S., Wernery,U., Thiel,V., Jores,J., Drexler,J.F., Drosten,C.",Germany,Germany,2015-01-01,"Human coronavirus 229E isolate HCoV-229E/BN1/GER/2015, complete genome",1
Seattle/USA/SC2872/2015,2015.0,2015,KY967357,"Greninger,A.L., Makhsous,N., Kuypers,J.M., Shean,R.C., Jerome,K.R.",USA,USA,2015-01-01,"Human coronavirus 229E strain HCoV_229E/Seattle/USA/SC2872/2015, complete genome",1
Seattle/USA/SC3112/2015,2015.0,2015,KY983587,"Greninger,A.L., Makhsous,N., Kuypers,J., Shean,R.C., Jerome,K.R., Kuypers,J.M.",USA,USA,2015-01-01,"Human coronavirus 229E strain HCoV_229E/Seattle/USA/SC3112/2015, complete genome",3
Seattle/USA/SC2282/2017,2016.0,2016,KY684760,"Greninger,A.L., Makhsous,N., Kuypers,J., Shean,R.C., Jerome,K.R., Kuypers,J.M.",USA,USA,2016-01-01,"Human coronavirus 229E strain HCoV_229E/Seattle/USA/SC2282/2017, complete genome",1
Seattle/USA/SC1143/2016,2016.0,2016,KY369910,"Greninger,A.L., Makhsous,N., Kuypers,J.M., Shean,R.C., Jerome,K.R.",USA,USA,2016-01-01,"Human coronavirus 229E strain HCoV_229E/Seattle/USA/SC1143/2016, complete genome",2
Seattle/USA/SC677/2016,2016.0,2016,KY369909,"Greninger,A.L., Makhsous,N., Kuypers,J.M., Shean,R.C., Jerome,K.R.",USA,USA,2016-01-01,"Human coronavirus 229E strain HCoV_229E/Seattle/USA/SC677/2016, complete genome",3
Seattle/USA/SC579/2016,2016.0,2016,KY369908,"Greninger,A.L., Makhsous,N., Kuypers,J.M., Shean,R.C., Jerome,K.R.",USA,USA,2016-01-01,"Human coronavirus 229E strain HCoV_229E/Seattle/USA/SC579/2016, complete genome",1
Seattle/USA/SC1073/2016,2016.0,2016,KY369913,"Greninger,A.L., Makhsous,N., Kuypers,J.M., Shean,R.C., Jerome,K.R.",USA,USA,2016-01-01,"Human coronavirus 229E strain HCoV_229E/Seattle/USA/SC1073/2016, complete genome",1
Seattle/USA/SC9731/2016,2016.0,2016,KY369912,"Greninger,A.L., Makhsous,N., Kuypers,J.M., Shean,R.C., Jerome,K.R.",USA,USA,2016-01-01,"Human coronavirus 229E strain HCoV_229E/Seattle/USA/SC9731/2016, complete genome",1
Seattle/USA/SC9773/2016,2016.0,2016,KY369914,"Greninger,A.L., Makhsous,N., Kuypers,J.M., Shean,R.C., Jerome,K.R.",USA,USA,2016-01-01,"Human coronavirus 229E strain HCoV_229E/Seattle/USA/SC9773/2016, complete genome",1
USA/UNM_0186/2016,2016.1068493150685,2016,MT438696,"Dinwiddie,D.L., Dehority,W.N., Schwalm,K.C., Kothari,A., Storm,E., Thompson,T., Putt,C., Pomeroy,K., Young,S.A., Domman,D., Kennedy,J.L.","USA: Albuquerque, New Mexico",USA,2016-02-09,"Human coronavirus 229E isolate HCoV-229E/USA/UNM_0186/2016, complete genome",1
Haiti-1/2016,2016.164383561644,2016,MF542265,"Bonny,T.S., Subramaniam,K., Waltzek,T.B., Elbadry,M.A., Beau De Rochars,V.M., Telisma,T., Rashid,M., Morris,J.G. Jr., Lednicky,J.A.",Haiti,Haiti,2016-03-01,"Human coronavirus 229E strain 229E/Haiti-1/2016, complete genome",1
USA/UAMS_DID_0108/2017,2017.0712328767124,2017,MT438700,"Dinwiddie,D.L., Dehority,W.N., Schwalm,K.C., Kothari,A., Storm,E., Thompson,T., Putt,C., Pomeroy,K., Young,S.A., Domman,D., Kennedy,J.L.","USA: Little Rock, Arkansas",USA,2017-01-27,"Human coronavirus 229E isolate HCoV-229E/USA/UAMS_DID_0108/2017, complete genome",1
Seattle/USA/SC9724/2018,2018.0,2018,MN369046,"Lin,M.J., Tait,A., Greninger,A.L.",USA,USA,2018-01-01,"Human coronavirus 229E strain HCoV_229E/Seattle/USA/SC9724/2018, complete genome",1
Seattle/USA/SC0865/2019,2019.0,2019,MN306046,"Lin,M.J., Tait,A., Greninger,A.L.",USA,USA,2019-01-01,"Human coronavirus 229E strain HCoV_229E/Seattle/USA/SC0865/2019, complete genome",1
